author,comments,reply_comments,reply_authors,update
江湖股者,反内卷的都在涨，累计涨幅好多10多个点了，就整车不涨反跌,,,07-09
被按着摩擦的韭菜,自从魏以后，汽车板块就没异动过，涨过，资金都不来汽车板块。问候它一下。,,,07-08
被按着摩擦的韭菜,汽车板块太烂了，八成以上都是织布机。毫无成长，还喜欢相互揭短。,,,07-03
追涨的小牛,此板块有一大半的票都是缝纫机,,,07-01
经纶大展de张良,二三流的板块就是垃圾,,,07-01
穿行月3556,汽车股为什么这么拉胯？,,,06-30
凤颂路,整天在补缺口的路上,,,06-30
豫QW45N1,自动驾驶老美涨疯了，我们为什么不能疯一回？,,,06-30
墨芯微,真可怜，打价格战你跌！不打价格战了，你还是跌！,,,06-30
博士后论股,公告：关于自行申请注销生产资质的通告,,,06-14
股友81x8x95516,魏公公一句话把汽车板块利好全整没了,,,05-26
鑫河鑫,我就不信今天版块把江淮拉不红！,,,06-24
基民55751v7M90,你在$汽车整车(BI1029)$ $中概股(USBLOCK|US36966)$,,,06-23
有耐心的耿榕1,广汽这种垃圾怎么不退市,,,06-23
尧老板66走,还是向下,,,06-22
湖北宋宇飞,765,,,06-20
有庄的模拟盘15,板块都是历史高位为什么这么神奇,,,06-20
股友783f50028e,擦，你起来一下干嘛，直接往下泄呗,,,06-20
森林木北,汽车股,,,06-20
追涨的小牛,汽车已死，被绞死，卷死,,,06-19
青云子子,整个汽车股.谁有广汽狠.来一个套一个,,,06-18
豫QW45N1,跌惨了，亏惨了，割肉割掉了,,,06-18
喜悦的严亦寒5,垃圾垃圾,,,06-18
夜村长,别的股票涨多了跌，你是今天跌，明天跌，天天喋喋不休,,,06-17
夜村长,全场消费，由长安汽车朱华荣买单。,,,06-17
接受平凡之路,价格战没子弹了，会怎么样呢，汽车大涨价？,,,06-16
僵尸户,今天整车板块涨不涨，就看广汽集团！,,,06-12
常睿懂事涨,万里科技，鼠光，北气绿谷，中铜汽车全部涨停,,,06-12
股海阳光,国企付民企货款就应该及时，拿的是国家资本，不能和民企付款周期一样！,,,06-11
新老小韭菜,成长龙头!自己感觉配拥有吗？服了啊,,,06-10
严格执行88888,明天可以升,,,06-09
股海里的小石头,明天整车发力，大红！比亚迪做领头羊！,,,06-05
股友81x8x95516,再涨啊,,,06-09
价值交易财经,假如可以和比亚迪重组会不会暴涨50个涨停板,,,06-09
追涨的小牛,绿一周,,,06-06
东翰股道,周末有利好,,,06-06
東莞周杰倫,汽车板块已经回调到20日线了，属于闭眼入的位置，加上汽车下乡的消息，作为板块龙头,,,06-03
股海里的小石头,明天大红,,,06-04
三思而后不行,说的下乡呢,,,06-04
四川大哥,汽车板块今天的走势说明了一切，，摆烂了这个汽车板块,,,06-04
有教养兔子1,整车股的春天来了。明天估计进不去啊。,,,06-03
鲁地金犁头,汽车整车，产能过剩严重还在炒作，跟当年没落前房地产一摸一样套路不变。,,,05-29
四川大哥,汽车已经不会涨了，清仓吧各位,,,06-03
股友JCzlMH,涨没见几个次，跌动不动第一。汽车废了,,,06-03
股友05u86d0516,0公里二手车,,,06-02
小曼鱼123,整车板块成份股市值前十的才一家涨了3.1，整个板块就涨了3.1%，板块涨幅是怎么,,,05-30
股友8F0AM5,马上会崩,,,05-29
风中美洲豹,今天是整车票的最后一天！再见,,,05-29
常言道8,倒数第三，真是好样的上汽集团。,,,05-29
股友70L058x732,政府采购国产车，,,,05-29
憨态可掬的薛筱蓓,今天涨的不少啊！下午走势不知道会咋样，大家觉得手里现有的股票是趁这波涨势卖了，还,,,05-29
咸鱼求翻身w,汽车主线带动各产业链,,,05-29
咸鱼求翻身w,如果第一产业链在过去是白酒主力军的话，那么未来国产汽车替代外资汽车是趋势，智驾和,,,05-29
andrew007212,防止内卷，主要针对的是汽车，算是小利好吧。,,,05-28
股友7595h8751K,真的是悲哀，一句话可以影响整个板块。,,,05-26
股友c18380k373,汽车板块已经成为垃圾板块，没资金进去，真悲哀,,,05-27
股友5D8076h615,连续15个交易日内，只红了3个，千里科技怎么了？,,,05-27
后惫马甲,老魏还是老了，以前老说什么电动混动，一副看不起，现在还不是屁颠屁颠跟着BYD做混,,,05-26
KevinJay,笛子带崩全场,,,05-26
一百万100万,下跌,,,05-26
n142040345664cfc,烧死的人还少吗,,,05-26
