author,comments,reply_comments,reply_authors,update
秀外慧中的祝莉,两月流出几百亿也是牛逼,,,06-05
方向不对一切白费,贝阴美是拉几,,,06-04
忧郁的藍,缩量新高，可以撤了,,,06-04
秀外慧中的祝莉,板块涨，个股没涨，太惨了,,,06-03
MD一买就跌,板块涨，你小跌，板块跌，你大跌！真是垃圾股一只。,,,06-03
太公稳操胜券,蓝莓饮料没人喝吗？如此低估值怎么就没资金看的上呢？果汁这不比那些酒饮料好的多！,,,06-03
八方纳福的逍遥子,不拿到分红送股。机构是不会跑的。今年预案应该是10送10。,,,06-01
歩步高,#收盘点评#,,,05-30
A战必胜哥,端午节，食品饮料还不涨？真菜的一B,,,05-30
最爱周绿缩,主力真牛，机器人不拉，就拉这些烂食品,,,05-27
咎不在相,这个指数怎么不一样，而且差这么多,,,05-29
有专注力的尹奕1,珠宝首饰板块和食品饮料板块强势领涨，其实是必然的结果，特别是珠宝首饰蓄力已久，即,,,05-27
我不叫诶,食品板块，有机会，干！,,,05-27
幸福的丰川祥子,大盘跌，食品涨,,,05-27
大青山王老师,震荡向上,,,05-27
laoyu72,鸡精越抱团，越成拉级，拉级鸡精，怎么考核？个个准备倒数,,,05-27
